Parameter,Mean,Median,Std,68.0%_lower,68.0%_upper,90.0%_lower,90.0%_upper,95.0%_lower,95.0%_upper,99.0%_lower,99.0%_upper
N,357.39911490344605,357.39525499407216,0.010221388705489576,357.3950367378572,357.40298194730883,357.39492749988375,357.4139376982554,357.39431725095534,357.41841061925936,357.3926778409011,357.45538963996165
r,77.92092514406329,77.92310903072189,0.00771415636448499,77.91525565293432,77.92593278240106,77.90398661413732,77.9311614607807,77.90011653273551,77.93203521973409,77.89716836319526,77.93289598262601
sigma,0.08660225477376668,0.08607428962094826,0.004710534075235841,0.08164027212098753,0.09139530007635159,0.07938447876535051,0.0952405338687604,0.07848078103411628,0.09605523083278716,0.07602195421004701,0.09712076988733642
x0_0,80.09545302451181,80.09690124886946,0.0033732929471310884,80.09351755409813,80.09715270848656,80.09026184547668,80.09723204129111,80.08968483203255,80.0972339117063,80.0787374550412,80.09724960969011
y0_0,136.37122359281796,136.37220663754806,0.002289565219744187,136.36990992644013,136.3723779151374,136.3676998599931,136.3724308651096,136.36730818282481,136.37243201311452,136.3598783673641,136.3724425583495
alpha_0,3.7378890154497415,3.7378930236983585,2.6503979267613593e-05,3.7378585696053848,3.7379079549821554,3.7378475783182443,3.737927260752754,3.7378343660390327,3.737940080504566,3.737826309260304,3.7379689287972915
x0_1,80.10234882242229,80.1077550948078,0.009121833175608367,80.09250987286102,80.1094587383096,80.08394857197975,80.10957476906903,80.08256035175958,80.10977934372968,80.07563403017629,80.10999035218315
y0_1,136.46711635758604,136.47253437072885,0.008981514288541886,136.4564824360265,136.47385270835449,136.45044743052452,136.47401899528936,136.44433731265465,136.4743812847684,136.44121176573756,136.47645862457742
alpha_1,3.741150604965611,3.741142974408877,0.0003838039108063999,3.7407729630768114,3.7415578010134793,3.74051038583586,3.7417905834188128,3.7403755485974473,3.7418868404827355,3.7402418845199774,3.7420400656324455
x0_2,80.23449825593231,80.23607658882972,0.006074035693762763,80.2324822933159,80.23640364863397,80.22142434677684,80.24131650670745,80.22072144731649,80.24220514154489,80.20860241679375,80.2493871778495
y0_2,136.20389971008754,136.206428164513,0.009988737461150076,136.19994605184394,136.20702067889314,136.1790692290005,136.21516658854298,136.17831705455626,136.21717263273504,136.16889856160054,136.23276941057622
alpha_2,3.7429182528647376,3.7428845889884794,0.0003596718849157157,3.742533942031327,3.743269521020561,3.742404201763474,3.7435549762075824,3.7423308102053143,3.7436968707327596,3.7421432668405963,3.7437551544526304
x0_3,79.85805794327142,79.85322334098515,0.0092477594738272,79.85268447469863,79.86452274469205,79.8526158895945,79.87422940769753,79.85261020535287,79.87726952843754,79.85140326113921,79.90256293128739
y0_3,136.29156692456695,136.29050326285028,0.010350600980399253,136.2892995217831,136.30143329311852,136.26899130135854,136.3077215774609,136.26420611190213,136.3105132273243,136.25992239476278,136.31389998232896
alpha_3,3.749036298405192,3.7490441397075105,0.00023014775199736807,3.7488049823345073,3.7492408390883765,3.748700526557683,3.7493886281038877,3.748547061333898,3.7494614589901727,3.7484909250903273,3.7495205677628807
x0_4,80.50660822344489,80.50544329496319,0.0026512181072757125,80.50520583114805,80.50831555988607,80.50513463545757,80.51045609788676,80.5051330245072,80.51129151052851,80.50511890180897,80.51968828635569
y0_4,136.46417451859367,136.46891914399453,0.010797960600105797,136.4572204160327,136.46988544896607,136.4485044056634,136.47017664695622,136.44510273046365,136.47018335100756,136.41090224286685,136.47024090546677
alpha_4,3.7400772832257316,3.7400662787678267,3.821492095179386e-05,3.7400510108543643,3.740088037554221,3.7400465807093366,3.7401495257340414,3.7400409784039237,3.740186220229495,3.7400380278524796,3.7402524417474865
x0_5,80.5103166458399,80.5085531253751,0.0036423221184891477,80.50829897045087,80.51240190025588,80.50822553077545,80.51616653920554,80.50822169284677,80.51630286481972,80.50820118098522,80.52823561490699
y0_5,136.48156639243604,136.4875391287232,0.012255116681557878,136.47402269717873,136.4884995427323,136.4616625723446,136.48873608143984,136.46138633723154,136.4887418528631,136.42218472238292,136.4888114610396
alpha_5,3.7405199351152776,3.740469158925319,0.0005948542133102921,3.7397811747795173,3.7412182615220027,3.7396518874478692,3.7412932830583068,3.7395636227581637,3.741780460098138,3.739493274983327,3.7419521677991825
x0_6,80.61632103104613,80.61525689012551,0.0023882994703535512,80.61502919905973,80.61793220146735,80.61495449213673,80.61982972352183,80.61495361258916,80.62139480406326,80.61493708967512,80.62787307418996
y0_6,136.18585025818373,136.18897422124238,0.006996514211255732,136.1810425532688,136.18968247707502,136.17534135362922,136.18984146706475,136.17105061743757,136.189841842292,136.15215446529749,136.18988189201622
alpha_6,3.7467611414771445,3.7467885577646967,0.0007235689715161647,3.7457537717224043,3.7478085532925696,3.745740093774478,3.7478401257964746,3.745734320855498,3.7478550121405028,3.7457191503985023,3.747873254147863
x0_7,80.76537889234942,80.76956677580647,0.008642447362554298,80.75837537391007,80.76993069878426,80.74542322718533,80.77219437557619,80.74033160976123,80.77260160416994,80.73677896450236,80.77584969734212
y0_7,136.0597708664346,136.04761114430482,0.02272396758924755,136.04657338374003,136.0791837515314,136.04497286447415,136.11229706168993,136.04247000036668,136.12528717025702,136.04148645264965,136.13414329016663
alpha_7,3.742926985570211,3.7430021006741034,0.0005651929453672954,3.7423002720982277,3.743443730489649,3.741924381504165,3.7438176172223128,3.7418410509829885,3.7438849727209154,3.741684458162463,3.7442160074243187
