Parameter,Mean,Median,Std,Median-68%_lower,68%_upper-Median,Median-90%_lower,90%_upper-Median,Median-95%_lower,95%_upper-Median,Median-99%_lower,99%_upper-Median,Mean-Std,Mean+Std
N,357.39911490344605,357.39525499407216,0.0102213887054895,0.00021825621496418535,0.007726953236669942,0.00032749418841149236,0.018682704183220267,0.0009377431168218209,0.023155625187200712,0.0025771531710461204,0.06013464588949091,357.3888935147406,357.4093362921515
r,77.92092514406329,77.92310903072189,0.0077141563644849,0.007853377787569116,0.0028237516791733697,0.01912241658456537,0.008052430058810955,0.02299249798637959,0.008926189012200325,0.02594066752662627,0.009786951904118268,77.9132109876988,77.92863930042778
sigma,0.0866022547737666,0.0860742896209482,0.0047105340752358,0.004434017499960696,0.005321010455403299,0.006689810855597694,0.009166244247812205,0.0075935085868319985,0.0099809412118389,0.010052335410901198,0.0110464802663882,0.08189172069853079,0.0913127888490024
x0_0,80.09545302451181,80.09690124886946,0.003373292947131,0.003383694771329715,0.00025145961710393294,0.006639403392782128,0.0003307924216500169,0.007216416836911321,0.00033266283683985876,0.01816379382825062,0.00034836082065226037,80.09207973156468,80.09882631745894
y0_0,136.37122359281796,136.37220663754806,0.0022895652197441,0.00229671110793106,0.00017127758934520898,0.0045067775549512135,0.00022422756154583112,0.004898454723274881,0.00022537556645829682,0.012328270183957102,0.00023592080142975647,136.36893402759821,136.3735131580377
alpha_0,214.16526487358075,214.16549452930974,0.0015185661523364937,0.0019740741143436935,0.000855499544286431,0.002603828478925152,0.0019616387198198026,0.0033608363154655763,0.002696156393056981,0.0038224557330863718,0.004349041812389487,214.16374630742843,214.16678343973308
x0_1,80.10234882242229,80.1077550948078,0.0091218331756083,0.015245221946784682,0.001703643501798524,0.02380652282805329,0.001819674261227533,0.02519474304821756,0.002024248921884464,0.032121064631510876,0.0022352573753465776,80.09322698924667,80.1114706555979
y0_1,136.46711635758604,136.47253437072885,0.0089815142885418,0.01605193470234667,0.0013183376256336032,0.022086940204331995,0.001484624560504244,0.028197058074198367,0.001846914039560943,0.03132260499128847,0.00392425384856665,136.4581348432975,136.47609787187457
alpha_1,214.3521401873442,214.35170298864801,0.02199034424981648,0.021200087699412506,0.023767813673430283,0.036244655402100534,0.03710526304396922,0.04397026008433613,0.04262038655500078,0.0516286475958907,0.05139954094869381,214.33014984309438,214.374130531594
x0_2,80.23449825593231,80.23607658882972,0.0060740356937627,0.0035942955138210664,0.00032705980424907466,0.014652242052875408,0.005239917877730704,0.01535514151322559,0.006128552715168212,0.027474172035965694,0.013310589019781105,80.22842422023855,80.24057229162607
y0_2,136.20389971008754,136.206428164513,0.00998873746115,0.006482112669061735,0.0005925143801448485,0.027358935512495464,0.008738424029985481,0.02811110995673971,0.010744468222043224,0.037529602912456994,0.0263412460632253,136.19391097262638,136.2138884475487
