Parameter,Mean,Median,Std,Median-68%_lower,68%_upper-Median,Median-90%_lower,90%_upper-Median,Median-95%_lower,95%_upper-Median,Median-99%_lower,99%_upper-Median,Mean-Std,Mean+Std
rt_N,357.2771971873904,357.2680492213424,0.0348153316991024,0.0007237403869453374,0.0036858775077917016,0.0015986195625714572,0.056322177745983026,0.005076668161621001,0.12346223733567285,0.007764229489680474,0.20183006341335386,357.2423818556913,357.31201251908954
rt_r,77.84654299605931,77.85388782133734,0.029612435384072,0.005219981899458048,0.0031580969827871286,0.04638811847561897,0.004405581190241037,0.12788453045376968,0.005475398394764852,0.16005100739755562,0.006566162440563517,77.81693056067525,77.87615543144338
rt_sigma_r,0.0250158940581747,0.0249749595797189,0.0023600875120973,0.0022043473695576993,0.0026798043137641996,0.0036924566573713,0.004002955514235101,0.004197752642384801,0.0044313527195445,0.005501954666087501,0.004960438069110999,0.022655806546077403,0.027375981570272
rt_sigma_t,0.1162687835955022,0.1165858198642423,0.0078243472977334,0.0071134062202993925,0.007234733166324406,0.013840806615418602,0.01097710485246381,0.017862980965932793,0.012115288426284898,0.0252790265425914,0.015637695413623615,0.1084444362977688,0.1240931308932356
rt_x0_0,80.01157169523935,80.01776869122148,0.0242812160298748,0.0036246942219548828,0.001095218920184493,0.03685755712959349,0.0032605314191727075,0.10612930273013887,0.0035724540521471226,0.13123017421263228,0.004608267127537147,79.98729047920948,80.03585291126923
rt_y0_0,136.31429239265583,136.3184984146867,0.0164800743688022,0.002460263730057477,0.0007432905744053642,0.02501608759811802,0.0022127453334519487,0.0720315662779285,0.0024245669550850835,0.08906813396248481,0.003127666058333034,136.29781231828701,136.33077246702464
rt_alpha_0,214.16542441009094,214.16552277341972,0.00073849390027917,0.0007735164668360994,0.00042055321605971585,0.0013666081410974584,0.0011705401823007833,0.0017660909251731027,0.0015613054960681438,0.0021419177555230817,0.0018217420692394626,214.16468591619065,214.16616290399122
rt_x0_1,80.0463111560632,80.05705673231316,0.044023215170391,0.03814238994091568,0.007595548384983886,0.097279546417397,0.04978735156537084,0.14360372342667915,0.057649755171794936,0.18074990978725225,0.07435953906450266,80.0022879408928,80.0903343712336
rt_y0_1,136.39925518843472,136.39941182387233,0.0300753435620628,0.011780044370652831,0.01686508395664532,0.05450007007002,0.05145299204542653,0.07132379086351648,0.06533267243761998,0.09682299743656131,0.0826421306311147,136.36917984487266,136.42933053199678
rt_alpha_1,214.34521652420935,214.34547822201313,0.04071530388937804,0.04123007344543339,0.033824811212724626,0.06029579471359625,0.06594849481140841,0.08764417873541674,0.07130472253905396,0.11459251929210268,0.09026351577003311,214.30450122031996,214.38593182809873
rt_x0_2,80.16767852210734,80.18535970518457,0.1430190088379023,0.008623939797388402,0.006922639283857279,0.043886532087356045,0.020792655243454305,0.45947053933460325,0.10121957439224616,0.8167056841276974,0.30937491237077097,80.02465951326944,80.31069753094523
rt_y0_2,136.15421311501936,136.15355305068437,0.0636267723981279,0.01079755138007954,0.013338376325549461,0.026714404844739192,0.02377090785810765,0.07258220890440725,0.15631012884381335,0.3042840780450433,0.24958323865229204,136.09058634262124,136.21783988741748
rt_alpha_2,214.47032241748127,214.46015293225997,0.11667007435095207,0.02403289223971683,0.019622774288507117,0.046848636605574256,0.05183750126562359,0.08670900654675506,0.3744241345904129,0.3079319754789651,0.6282777672505802,214.3536523431303,214.58699249183223
