Parameter,Mean,Median,Std,68%_lower,68%_upper,90%_lower,90%_upper,95%_lower,95%_upper,99%_lower,99%_upper
N,359.25247,359.2446,1.0336956,358.23196,360.27124,357.56796,360.9531,357.234,361.2831,356.5758,361.96384
alpha_1,3.7424784,3.7425447,0.008359488,3.734153,3.7507741,3.728685,3.756201,3.7260473,3.7588377,3.7206035,3.7638934
alpha_2,3.7460303,3.7461724,0.032123182,3.7142296,3.777857,3.6934474,3.79867,3.6831188,3.8087306,3.6622875,3.8293297
alpha_3,3.7528317,3.7528493,0.004584773,3.7483072,3.7573707,3.7452705,3.7603357,3.7437031,3.7618327,3.7408361,3.7647893
alpha_5,3.7544863,3.7525034,0.0753556,3.667479,3.8421617,3.6377997,3.876441,3.6304367,3.8845854,3.622442,3.8929555
alpha_6,3.7659812,3.7651262,0.07863705,3.6743176,3.858412,3.6437855,3.890018,3.6365654,3.8973746,3.6289353,3.9060843
alpha_7,3.7270272,3.7233677,0.053393524,3.671082,3.7824118,3.6450896,3.8210354,3.6366465,3.8390522,3.6271722,3.8725882
r,77.44894,77.44955,0.20348503,77.24706,77.650894,77.11864,77.782875,77.04965,77.84882,76.91423,77.97725
sigma,0.33924338,0.33818078,0.020066164,0.3193205,0.3592466,0.30816624,0.3741351,0.3030089,0.38143274,0.29330954,0.3961463
x0_1,79.76432,79.76373,0.48721316,79.28064,80.247444,78.96308,80.56579,78.81,80.72053,78.51283,81.0082
x0_2,79.94142,79.95546,2.1918597,77.7723,82.11611,76.30681,83.50889,75.61426,84.17604,74.205055,85.54081
x0_3,79.877495,79.87807,0.29713714,79.58448,80.16951,79.387726,80.36734,79.29644,80.464,79.10416,80.66085
x0_5,80.145805,80.22919,5.5814013,73.65982,86.619194,71.19843,88.888176,70.619774,89.439766,70.13138,89.88766
x0_6,79.94035,79.92488,5.719585,73.23135,86.66847,71.03884,88.94578,70.51805,89.46834,70.09794,89.89615
x0_7,82.627716,82.847,3.8262699,78.65201,86.65305,75.98221,88.5955,74.68562,89.20413,72.3788,89.82266
y0_1,136.1453,136.14845,0.47588277,135.67203,136.61551,135.3585,136.91959,135.20448,137.06989,134.88823,137.36423
y0_2,135.77968,135.81439,1.1969166,134.60223,136.96027,133.7428,137.67116,133.34412,138.02917,132.44456,138.69841
y0_3,135.83826,135.83856,0.21181941,135.62892,136.048,135.49251,136.18661,135.42265,136.25638,135.29137,136.38745
y0_5,135.62326,135.86005,1.6785606,133.62708,137.43082,132.63759,137.91695,132.3504,138.08284,131.93352,138.36491
y0_6,135.1706,135.41867,2.060273,132.69542,137.44986,131.63231,138.03699,131.33493,138.24539,130.90128,138.55978
y0_7,136.19386,136.38852,1.5502394,134.62363,137.7611,133.35844,138.38324,132.69177,138.58255,131.47537,138.88074
