N,alpha_1,alpha_2,alpha_3,alpha_5,alpha_6,alpha_7,r,sigma,x0_1,x0_2,x0_3,x0_5,x0_6,x0_7,y0_1,y0_2,y0_3,y0_5,y0_6,y0_7
358.41086,3.7261515,3.780926,3.7456374,3.8016286,3.7320507,3.6751285,77.32571,0.3282078,80.61163,77.353836,80.3086,76.46156,82.478874,86.09436,135.24232,137.02333,135.6802,134.53673,135.96129,137.67691
358.0903,3.7427816,3.694202,3.7473435,3.744598,3.6681547,3.691492,77.44241,0.3477437,79.80804,83.4589,79.91237,80.57486,86.87277,84.87635,136.25166,133.84068,135.8457,135.85674,137.55962,136.88608
359.3877,3.7417824,3.7812505,3.7524872,3.6759293,3.6936224,3.6484044,77.3709,0.33544216,79.67287,77.72228,79.956825,85.99028,85.25494,88.49053,135.97232,137.09567,135.72702,137.28932,137.30228,138.70122
359.2912,3.743525,3.770596,3.7509685,3.6678896,3.7774477,3.6368437,77.63509,0.32681552,79.87396,78.69185,80.136665,86.45429,78.84672,89.39642,136.27768,136.83032,136.05,137.73392,135.30104,138.39116
359.63367,3.7461402,3.7341685,3.7606711,3.8787422,3.651829,3.7624462,77.37334,0.3691682,79.557846,81.00217,79.351166,71.24347,88.73981,80.00327,136.2728,135.15335,135.8676,132.72272,137.76454,135.17725
358.43567,3.7562408,3.7433028,3.747913,3.7876427,3.8337173,3.6612535,77.410706,0.33293742,78.91418,79.87127,80.02667,77.51472,74.508125,87.03264,136.8809,135.60909,135.74384,134.97975,133.43605,137.6521
360.44058,3.7525096,3.7637188,3.75204,3.8330996,3.792439,3.629303,77.49959,0.32573548,79.27593,78.98485,80.24877,74.366714,78.34303,89.96132,136.66815,136.29659,135.94803,133.86566,134.81154,138.7438
356.78424,3.7472632,3.7349489,3.7483902,3.7612,3.8728695,3.8699038,77.147514,0.3475075,79.2291,80.47556,79.6309,78.809135,71.82836,72.20209,136.24675,135.18187,135.53273,135.07634,131.6359,131.05486
359.11496,3.7454681,3.7376544,3.7507863,3.711298,3.6622064,3.629427,77.60011,0.3684014,79.8209,80.760956,79.981445,83.27255,87.600746,89.866646,136.40823,135.77733,136.00179,137.02022,137.6105,138.9337
359.0023,3.7500043,3.7504818,3.751313,3.8033025,3.8396618,3.8529217,77.1973,0.33418888,79.10959,79.398384,79.88109,76.39214,74.55058,73.87532,136.41687,135.76695,135.53882,134.35693,132.72455,131.95563
358.65186,3.7409039,3.7408948,3.7552712,3.781666,3.8223042,3.7102869,77.56447,0.34772015,79.858536,80.411705,79.566,77.78746,75.56297,83.65916,136.13702,135.90074,136.034,135.10582,133.72392,136.72343
359.04794,3.7479565,3.7200658,3.75229,3.8670256,3.8054335,3.716366,77.28575,0.31295165,79.30866,81.36989,79.844765,71.97426,76.74928,83.6378,136.29257,134.63263,135.72484,132.81123,134.08739,136.42323
359.06915,3.7499983,3.7788,3.755553,3.8294759,3.8889651,3.718257,77.362755,0.36329058,79.216095,77.66739,79.59375,74.55534,71.03275,83.19614,136.63766,137.08632,135.7318,133.83307,131.40408,136.45766
359.0379,3.7411761,3.759075,3.758111,3.6390154,3.8319073,3.7064402,77.56757,0.3482327,79.89076,78.9253,79.414154,88.981476,74.866425,83.97713,136.26376,136.48927,135.99155,138.09615,133.53416,136.80429
358.3219,3.7525783,3.7381594,3.7433772,3.8833253,3.7911465,3.8142202,76.93064,0.3528365,78.84404,80.2745,80.41747,70.414444,77.94901,76.42498,136.36195,135.19835,135.24733,131.74516,134.30257,133.00787
357.90015,3.7390616,3.7253056,3.745828,3.7237105,3.8723626,3.6965005,77.19215,0.3411038,79.76228,81.24653,80.159615,82.23423,71.978485,84.502014,135.76967,134.86684,135.51772,136.35449,132.12595,136.70578
359.80847,3.7477818,3.7580981,3.7562072,3.725897,3.8271205,3.6849198,77.67054,0.32730767,79.68031,79.24481,79.76628,82.29635,75.95015,85.691765,136.648,136.6336,136.01996,136.40819,134.40572,137.88
358.91986,3.7419636,3.780841,3.7560318,3.668071,3.6709335,3.6871426,77.3246,0.3390308,79.65683,77.62423,79.57209,86.66568,86.874535,85.336075,136.15508,136.89816,135.72997,137.63918,137.24701,137.44426
