Parameter,Mean,Median,Std,68%_lower,68%_upper,90%_lower,90%_upper,95%_lower,95%_upper,99%_lower,99%_upper
N,358.5214,358.50735,1.2280242,357.31836,359.72736,356.53348,360.5653,356.12784,360.97845,355.3792,361.8139
alpha_1,3.741872,3.741744,0.0017710936,3.7400181,3.7434907,3.7388425,3.744656,3.738253,3.7452328,3.73714,3.7463775
alpha_2,3.7450964,3.7451704,0.004647998,3.7404983,3.7496908,3.7373993,3.7527106,3.735872,3.7541177,3.7331529,3.7570431
alpha_3,3.7510955,3.7510881,0.0031960655,3.7479765,3.754285,3.7458973,3.7564251,3.7448955,3.757447,3.7428389,3.7595086
alpha_5,3.7340868,3.7342827,0.021863967,3.7124274,3.755573,3.697918,3.7699463,3.6911347,3.7772572,3.676477,3.7900777
alpha_6,3.7420936,3.7416568,0.045751233,3.6954873,3.787906,3.6671407,3.818817,3.6545038,3.8342404,3.6371312,3.864661
alpha_7,3.7160513,3.7160773,0.0090344865,3.707103,3.7249126,3.7011187,3.7309268,3.6981118,3.7338572,3.6925657,3.7395084
r,76.87016,76.870316,0.028753571,76.84182,76.89864,76.82349,76.91756,76.814186,76.9271,76.79598,76.94674
sigma_r,0.04037524,0.040132895,0.0035474582,0.03687678,0.043884195,0.034949828,0.046578255,0.03414383,0.047990754,0.032641545,0.050902683
sigma_t,0.4886035,0.48558855,0.040982116,0.4486398,0.5287122,0.4264599,0.560994,0.41725343,0.5782042,0.39814758,0.6129849
x0_1,79.362526,79.36319,0.05849978,79.30576,79.42132,79.26845,79.45985,79.249535,79.478294,79.21304,79.51874
x0_2,79.68569,79.6846,0.25926942,79.428894,79.94022,79.26232,80.11589,79.17753,80.196594,79.00497,80.356964
x0_3,79.81101,79.8197,0.036593508,79.78436,79.85452,79.7613,79.87758,79.749306,79.88999,79.72467,79.910706
x0_5,81.57201,81.55462,1.5657074,80.04289,83.122604,79.004944,84.16012,78.489235,84.66991,77.61429,85.766525
x0_6,81.62163,81.63197,3.2993975,78.30805,84.98753,76.12297,87.0837,75.05292,88.00046,72.9571,89.33383
x0_7,83.38467,83.38607,0.52828276,82.85963,83.90265,82.51869,84.25414,82.3454,84.42445,82.01327,84.78381
y0_1,135.7024,135.69312,0.057933554,135.6366,135.74889,135.59978,135.78648,135.58064,135.80617,135.54176,135.84515
y0_2,135.30325,135.30466,0.14238828,135.16232,135.44403,135.0666,135.53699,135.02267,135.58128,134.93208,135.67076
y0_3,135.2422,135.23459,0.03097862,135.20491,135.26424,135.18594,135.28433,135.17628,135.29396,135.15715,135.31476
y0_5,135.63795,135.65012,0.42820245,135.22037,136.06247,134.90564,136.31604,134.74657,136.43622,134.44646,136.67746
y0_6,135.30397,135.38997,1.1016871,134.21622,136.40643,133.34766,136.96368,132.88846,137.1819,131.93091,137.48407
y0_7,135.98116,135.98468,0.20231925,135.78096,136.1789,135.64662,136.31036,135.57916,136.3767,135.44492,136.50386
