N,alpha_1,alpha_2,alpha_3,alpha_5,alpha_6,alpha_7,r,sigma_r,sigma_t,x0_1,x0_2,x0_3,x0_5,x0_6,x0_7,y0_1,y0_2,y0_3,y0_5,y0_6,y0_7
356.35883,3.7382727,3.741461,3.7466059,3.737499,3.710571,3.7124312,76.86119,0.03769784,0.5230513,79.37064,79.446144,79.77275,80.75957,83.236595,82.94213,135.67365,135.44441,135.22704,135.44394,135.91002,135.81747
356.55447,3.7405798,3.7368133,3.747171,3.7346272,3.6656811,3.6962588,76.85286,0.043256313,0.5264922,79.38029,80.234055,79.81392,80.90953,86.75685,84.66333,135.64993,134.99976,135.21985,135.42628,136.81377,136.40852
357.91425,3.7419086,3.7486117,3.7482252,3.715173,3.6728075,3.719487,76.89172,0.03611752,0.45924422,79.41562,79.62341,79.81507,82.814575,86.06793,82.59047,135.66837,135.37901,135.25024,135.98416,136.75558,135.69774
356.26608,3.7388341,3.7420895,3.7455957,3.7131987,3.6655066,3.7151845,76.87775,0.040449318,0.5081808,79.40291,79.8022,79.82244,82.27701,86.297195,82.91524,135.64865,135.22672,135.24855,135.84798,136.72443,135.8164
359.31494,3.7449117,3.747245,3.7542267,3.7331352,3.7312603,3.7265809,76.885445,0.042915646,0.49744287,79.31048,79.6999,79.74041,82.00212,82.822754,83.06759,135.79675,135.32889,135.26009,135.82414,135.73074,135.88054
357.1845,3.7386782,3.740021,3.749701,3.759204,3.7210422,3.704509,76.89469,0.045337945,0.4686338,79.40932,79.922745,79.75771,79.11842,82.53415,83.368416,135.69754,135.19266,135.27444,135.0089,135.7137,135.98524
357.10696,3.7387977,3.7452002,3.7488692,3.6805427,3.6895382,3.7244282,76.8798,0.044367693,0.4737752,79.35051,79.65559,79.802315,85.02317,85.05349,82.24023,135.68964,135.2964,135.24461,136.48914,136.39981,135.56125
358.807,3.7408273,3.7458422,3.750539,3.7537868,3.8495638,3.7124214,76.80463,0.042881507,0.45360273,79.296455,79.76214,79.80358,79.944046,74.27907,83.965164,135.6655,135.2293,135.16183,135.06865,132.4965,136.11255
357.83142,3.7399771,3.7408345,3.7507565,3.7090883,3.6489239,3.7181964,76.92496,0.042183116,0.564176,79.42153,79.781715,79.824356,83.15361,87.937,83.17158,135.71896,135.29692,135.31094,136.14719,137.23947,135.98268
359.1338,3.74554,3.7478607,3.7545364,3.7568858,3.7115474,3.7206035,76.841095,0.040585652,0.4426839,79.26199,79.49819,79.81649,80.05839,83.82605,83.2723,135.73595,135.39664,135.18672,135.20845,136.04333,135.89032
358.2841,3.741606,3.7439075,3.7479146,3.7379367,3.7772295,3.7136824,76.870285,0.041894168,0.49731064,79.36556,79.6546,79.83158,81.33452,79.09487,83.67018,135.7196,135.31596,135.23024,135.6022,134.49889,136.10898
356.9508,3.7407193,3.7380192,3.7483826,3.7418783,3.7443001,3.7161884,76.82648,0.037942253,0.43973556,79.29744,80.170586,79.829506,80.707825,81.32797,82.9487,135.70381,134.98604,135.20044,135.37628,135.21576,135.75429
357.78476,3.7389984,3.7398956,3.7486715,3.7039504,3.6804373,3.7273962,76.8785,0.03955562,0.46832842,79.5151,79.97244,79.81499,83.59104,85.684425,82.42782,135.58,135.17195,135.25708,136.16151,136.60268,135.61166
358.1948,3.744493,3.748445,3.7508132,3.7623992,3.8015416,3.7173283,76.85536,0.041448787,0.46246547,79.30509,79.674255,79.81194,79.309746,77.40973,83.45969,135.76456,135.30519,135.22789,135.0016,133.84053,135.99791
356.24216,3.7395408,3.7491975,3.7485814,3.7341275,3.734932,3.705441,76.81,0.040222332,0.50275314,79.29644,79.51316,79.832886,80.73355,81.2548,83.596664,135.67944,135.34026,135.17096,135.3569,135.13394,136.00035
356.5932,3.739789,3.742114,3.7445176,3.725803,3.7301283,3.708923,76.8688,0.042966425,0.44104552,79.40169,79.7059,79.87849,81.86624,82.447914,83.59087,135.64987,135.28265,135.23274,135.7243,135.6569,136.02902
357.01514,3.7400985,3.7350316,3.7478628,3.7072113,3.7230685,3.7203407,76.86911,0.03900578,0.53435004,79.377426,80.325195,79.80071,83.06471,82.42868,82.73954,135.67789,134.96991,135.23183,136.03633,135.6661,135.75821
357.69754,3.7435331,3.7450452,3.748766,3.681501,3.7430322,3.708956,76.86037,0.038560446,0.47688222,79.27443,79.65652,79.84417,85.39029,81.60635,83.41129,135.75772,135.31256,135.23012,136.57205,135.40746,135.98677
358.27417,3.7406602,3.7433927,3.7500098,3.756735,3.7086122,3.720552,76.87252,0.042040974,0.41933787,79.40287,79.71734,79.84349,80.08662,83.81089,83.08911,135.67674,135.30699,135.24287,135.25757,136.11768,135.86588
358.61954,3.7418728,3.7407162,3.749425,3.7367454,3.6530912,3.7069802,76.85959,0.03801065,0.4838033,79.30514,79.86096,79.86012,81.57837,88.28432,83.75402,135.74132,135.20456,135.21649,135.62344,137.26054,136.11278
357.50827,3.7423692,3.747861,3.748569,3.7290053,3.7623873,3.7125497,76.838554,0.04221504,0.4928073,79.38459,79.47935,79.82631,81.82097,79.2573,83.24108,135.62112,135.36208,135.20586,135.67763,134.54199,135.89503
357.59988,3.7434793,3.7517102,3.750843,3.6979532,3.8350222,3.7165859,76.880585,0.041297097,0.48086086,79.3821,79.50629,79.796814,84.02774,74.36494,83.33312,135.68045,135.42671,135.24821,136.27782,132.59888,136.00713
359.90857,3.7442498,3.7496662,3.7539132,3.7158444,3.8022065,3.7117121,76.89304,0.039454754,0.4870409,79.24949,79.609535,79.77958,83.35287,77.82749,83.62933,135.82156,135.35013,135.25531,136.15184,134.03296,136.08063
357.66296,3.7410917,3.7417614,3.7485573,3.7190733,3.6427152,3.7165146,76.89267,0.039908282,0.44820398,79.33793,79.945755,79.81598,82.31716,88.88273,82.94374,135.73189,135.1979,135.2594,135.89961,137.33948,135.86107
358.5583,3.737357,3.7484212,3.7501807,3.712465,3.7704515,3.7126787,76.86479,0.037606742,0.52375925,79.38972,79.45236,79.82903,83.19228,78.99264,83.45056,135.63654,135.40648,135.21945,136.03595,134.51877,136.03665
357.2714,3.7396522,3.7437308,3.748106,3.7101772,3.7391634,3.7049513,76.87449,0.04055175,0.4797463,79.37241,79.54189,79.82288,82.766655,81.238815,84.00515,135.70724,135.40288,135.2393,135.93964,135.28526,136.19034
356.77927,3.7393498,3.744133,3.747246,3.733356,3.7062857,3.7033868,76.83854,0.04428578,0.56898457,79.355606,79.406815,79.84029,81.11113,83.17803,83.60821,135.67328,135.40189,135.19936,135.5375,135.86177,136.03465
359.7006,3.741572,3.7443352,3.7538564,3.7199364,3.720476,3.7083263,76.926216,0.040199265,0.45750344,79.455185,79.69372,79.825424,82.966835,82.7901,84.55868,135.6919,135.36201,135.29465,136.10405,135.84729,136.4562
356.49298,3.7414868,3.748117,3.7456017,3.7411032,3.6418116,3.7029288,76.83531,0.038949005,0.4951045,79.365555,79.41376,79.792465,80.47855,88.22623,83.78811,135.64444,135.402,135.20085,135.27939,137.16824,136.12538
356.9084,3.7420533,3.7411797,3.7474513,3.7499013,3.7569447,3.7099204,76.87211,0.0352207,0.45479488,79.37014,79.93632,79.82295,80.01026,80.44835,83.273224,135.67912,135.18211,135.23773,135.18503,134.95438,135.96333
356.47443,3.7392402,3.738809,3.7471187,3.742888,3.7705696,3.714119,76.8912,0.03749467,0.47737104,79.370094,80.00774,79.84199,80.62846,79.175575,82.86833,135.72574,135.15872,135.25166,135.40709,134.5276,135.82437
357.89078,3.741647,3.7403574,3.7487833,3.717334,3.771417,3.707085,76.853966,0.039591286,0.4382373,79.37555,80.05767,79.82332,82.200165,79.526024,83.87397,135.65193,135.08829,135.22012,135.8045,134.65846,136.15752
357.39166,3.7401102,3.7477713,3.7473955,3.7460992,3.6663678,3.7154596,76.87564,0.043665998,0.45365417,79.437546,79.6294,79.85257,80.50694,87.34946,83.14067,135.62881,135.3351,135.22513,135.36615,137.01456,135.90022
358.6125,3.7417285,3.7446609,3.7512581,3.7349176,3.773811,3.7181022,76.93511,0.04294247,0.4800475,79.43131,79.57161,79.82117,81.47972,79.634,83.13071,135.71785,135.42885,135.30513,135.67819,134.72656,135.95631
359.8963,3.7445343,3.7474394,3.753838,3.735428,3.6902895,3.718158,76.88027,0.038713694,0.45486024,79.32226,79.85747,79.833824,82.1625,85.30117,83.50279,135.75032,135.22554,135.246,135.81679,136.49069,136.01505
357.19638,3.7425246,3.739643,3.7473793,3.742839,3.675181,3.7173648,76.88045,0.041899502,0.5497335,79.269226,79.6962,79.81289,80.24383,86.371956,82.7696,135.78268,135.28317,135.24619,135.30484,136.78299,135.76125
356.87967,3.740371,3.7449715,3.747679,3.70636,3.727213,3.7109387,76.83236,0.038957097,0.52580076,79.35929,79.44745,79.82632,83.11674,82.43122,83.264404,135.66202,135.39653,135.19075,136.01141,135.58847,135.89804
359.05685,3.742265,3.7535431,3.752564,3.6950204,3.688284,3.73146,76.8796,0.039114542,0.42715436,79.34051,79.15665,79.82857,84.34681,85.76831,82.44852,135.73758,135.60382,135.23613,136.36057,136.59964,135.63911
357.91913,3.7401404,3.736264,3.74956,3.7661057,3.7754967,3.720168,76.90547,0.03959123,0.4523961,79.44652,80.320366,79.826614,79.14913,78.483665,83.302185,135.67242,135.0038,135.26422,134.97528,134.29004,136.00076
358.87842,3.7428544,3.7370238,3.7510679,3.7367024,3.6760778,3.7133675,76.82656,0.039072692,0.5480972,79.285614,80.11205,79.795166,81.50025,87.20491,83.59997,135.71738,135.02032,135.19264,135.59729,136.92436,136.02881
358.47858,3.7402184,3.7440722,3.7518408,3.7348697,3.721426,3.7175941,76.910805,0.04442455,0.51425254,79.45859,79.64009,79.81112,81.27642,82.801216,83.23654,135.64403,135.38522,135.2764,135.62497,135.761,135.98276
358.73254,3.7392364,3.7511895,3.750889,3.7460616,3.7867095,3.717046,76.82534,0.036927164,0.42549115,79.470245,79.33005,79.828186,80.769875,78.85233,83.32106,135.50882,135.4267,135.1853,135.33723,134.34709,135.93604
358.70935,3.742947,3.7371786,3.752936,3.759133,3.7260506,3.7193084,76.89331,0.041062113,0.45403582,79.34633,80.154434,79.79982,79.8449,82.47505,83.353004,135.75319,135.0921,135.26656,135.16539,135.70964,135.98306
359.36792,3.7406082,3.7445416,3.7534382,3.7357657,3.7761593,3.7201874,76.87008,0.032720085,0.43954766,79.34881,79.58515,79.83519,81.799034,79.79054,82.892,135.70299,135.35458,135.23051,135.75507,134.7419,135.80309
360.61697,3.7437167,3.751344,3.7568388,3.7502341,3.732918,3.7110572,76.8637,0.038307082,0.52757955,79.23346,79.65428,79.82982,80.94963,82.2183,84.11132,135.79877,135.3276,135.24068,135.48183,135.57738,136.22453
356.9928,3.745847,3.744472,3.74757,3.7413256,3.7083697,3.712406,76.84632,0.03743832,0.5152971,79.243256,79.47279,79.83337,81.05375,83.15513,83.43158,135.77403,135.39166,135.20683,135.45541,135.8663,135.96788
357.91003,3.7399683,3.7419703,3.7505138,3.7428582,3.8344016,3.731053,76.8941,0.04175362,0.4503605,79.38495,79.814926,79.83802,80.75184,74.60399,82.25756,135.70863,135.24199,135.26547,135.48204,132.71198,135.58485
360.79266,3.7427342,3.7498972,3.7560773,3.7095733,3.8182237,3.73074,76.89099,0.04533602,0.50132567,79.32247,79.62563,79.75567,83.79777,76.31527,82.75466,135.74002,135.35144,135.26279,136.22278,133.4303,135.7592
360.2239,3.741701,3.7534158,3.7557404,3.730903,3.7425766,3.714024,76.838905,0.04611477,0.5068851,79.34279,79.13452,79.82278,82.35141,82.31911,83.8621,135.67601,135.54758,135.20694,135.80005,135.61728,136.14578
359.48306,3.739212,3.7506082,3.7536902,3.7126625,3.6746354,3.7037225,76.87191,0.046896063,0.4691556,79.46481,79.35637,79.81857,83.579544,86.49904,84.317276,135.62527,135.49074,135.227,136.15897,136.7912,136.32132
359.0119,3.7408106,3.7429223,3.7520356,3.7528114,3.7320807,3.7258468,76.85368,0.03422047,0.49692437,79.31149,79.84179,79.8479,80.31807,82.177246,82.748764,135.73526,135.20154,135.21439,135.27739,135.50699,135.72313
360.4408,3.740274,3.7513454,3.7555225,3.7320864,3.700135,3.7221029,76.909294,0.037807632,0.47779036,79.40411,79.48467,79.84192,82.093864,85.21343,83.351906,135.68625,135.4577,135.27084,135.8525,136.5376,136.01506
359.0862,3.7411075,3.7520666,3.7512407,3.7464101,3.7446616,3.7081056,76.84849,0.042970885,0.4808918,79.32037,79.15373,79.868256,80.836296,81.77358,84.11744,135.70346,135.56995,135.21196,135.43031,135.41614,136.24251
359.66663,3.7427502,3.7454743,3.7514699,3.734672,3.650538,3.7140703,76.838295,0.048590418,0.50839746,79.30627,79.843796,79.86756,81.67614,88.76463,83.416084,135.69498,135.20938,135.20103,135.68555,137.33899,135.98088
358.74753,3.7423546,3.7476525,3.753255,3.7141814,3.6889093,3.718414,76.84547,0.039147876,0.43191314,79.29154,79.47561,79.80386,83.090454,85.07083,83.36186,135.70888,135.41507,135.19684,135.99142,136.38664,135.93185
359.97784,3.7421625,3.7518468,3.755515,3.7484684,3.794228,3.7236652,76.91183,0.03957395,0.4055649,79.393326,79.52809,79.80269,81.097206,77.69153,83.24325,135.71976,135.43651,135.28535,135.56273,133.97891,135.97797
360.13852,3.7424233,3.749016,3.754512,3.7657511,3.7762527,3.7186713,76.90431,0.0448472,0.46500188,79.407196,79.63543,79.8842,80.01045,79.96451,83.60775,135.70316,135.36304,135.26115,135.20328,134.88293,136.07027
358.6194,3.74238,3.7448332,3.7522607,3.7245727,3.7497327,3.711667,76.923325,0.046818353,0.47579238,79.35312,79.65915,79.837074,82.19236,81.41965,83.48032,135.76088,135.37325,135.2956,135.8675,135.34756,136.07967
358.30246,3.7406278,3.7482388,3.7503083,3.7390163,3.7237089,3.7089045,76.861,0.04218726,0.47965068,79.34929,79.59768,79.75941,80.74118,82.86946,84.02641,135.67363,135.3569,135.2287,135.39713,135.72781,136.21428
360.37213,3.7440856,3.7463446,3.7549744,3.7596414,3.7769606,3.7262948,76.87216,0.03550774,0.54562885,79.37871,79.6814,79.82498,79.50127,78.81416,83.05835,135.68405,135.33688,135.23622,135.02931,134.48993,135.84631
359.7696,3.7405534,3.7421904,3.7540905,3.7656825,3.681474,3.7190208,76.87794,0.04656988,0.53176504,79.483574,79.885765,79.843796,79.29728,85.96762,83.33146,135.58786,135.18446,135.2304,134.99953,136.71765,135.96342
360.13477,3.7414942,3.7443235,3.754069,3.7717483,3.7567854,3.7184665,76.86595,0.035632625,0.55263305,79.38726,79.934616,79.835815,79.03395,81.02209,83.687515,135.66669,135.14375,135.23335,134.89832,135.15508,136.10597
358.77722,3.740657,3.7448766,3.7512054,3.6871662,3.7232213,3.7125793,76.890236,0.040234208,0.47089377,79.34088,79.67286,79.797325,84.66597,82.72139,83.60747,135.75162,135.31378,135.26033,136.46227,135.74629,136.09898
358.4491,3.7441845,3.7493114,3.7522302,3.7141607,3.7544558,3.723395,76.841415,0.038851522,0.46362114,79.29501,79.35191,79.79006,82.87926,80.92931,82.700485,135.71063,135.44229,135.20049,135.95293,135.11638,135.68756
358.08652,3.7429955,3.7507043,3.7508543,3.7280037,3.7361808,3.722807,76.86308,0.042750515,0.42381617,79.34601,79.240715,79.83281,81.72112,81.872734,82.81152,135.70029,135.51582,135.2345,135.6749,135.46886,135.74532
359.58096,3.7433398,3.737559,3.7537656,3.741964,3.736922,3.6974523,76.888626,0.04109227,0.5359016,79.40536,80.03495,79.83612,81.61279,82.48606,84.977745,135.66675,135.13591,135.2711,135.70345,135.6552,136.60648
356.41428,3.7434888,3.7302058,3.74593,3.7461994,3.6782103,3.702892,76.88095,0.045960367,0.5323469,79.33199,80.194084,79.798416,80.170044,85.87482,83.77807,135.75821,135.03993,135.25389,135.23729,136.65997,136.1245
359.5843,3.7402344,3.755235,3.7540183,3.725864,3.7730036,3.7342381,76.87777,0.04148859,0.4227988,79.41867,79.01109,79.82331,82.443184,80.00664,82.57826,135.6452,135.66423,135.2607,135.90997,134.82611,135.64761
358.14734,3.739375,3.7401483,3.74935,3.7165935,3.6882715,3.727829,76.85351,0.03945548,0.42771035,79.41102,79.59774,79.78622,83.14357,85.42405,82.751945,135.63457,135.34381,135.2082,136.04773,136.50919,135.72108
358.39832,3.7420037,3.7459438,3.750718,3.7304962,3.7647953,3.7198586,76.87346,0.039324265,0.4093012,79.41522,79.2763,79.79461,81.81196,79.94678,83.23029,135.6744,135.54245,135.23366,135.73239,134.80817,135.93382
356.92383,3.7420678,3.746784,3.7473395,3.723653,3.73567,3.704034,76.8193,0.038675215,0.5061001,79.31417,79.733635,79.78488,81.69174,81.64952,83.66213,135.67976,135.23573,135.17737,135.65042,135.35231,136.05153
356.86902,3.7428281,3.7466886,3.746943,3.717608,3.764367,3.7038383,76.83971,0.044373557,0.540513,79.25099,79.640335,79.7914,82.62439,79.16236,83.83755,135.76242,135.30518,135.20273,135.88821,134.47237,136.09393
357.16168,3.7434816,3.7408137,3.7480521,3.7262182,3.8079274,3.7124436,76.88103,0.037419118,0.47945598,79.24919,79.94999,79.850555,82.35938,76.58216,83.408875,135.80487,135.18816,135.23389,135.86281,133.54483,136.01816
357.44058,3.740848,3.7474532,3.7481313,3.727626,3.709594,3.7150638,76.86607,0.041586813,0.49120453,79.35336,79.50235,79.85196,81.70437,83.56819,83.14623,135.67453,135.37437,135.22606,135.6913,136.03122,135.87645
358.22064,3.7407987,3.7429862,3.7513862,3.7385538,3.6673415,3.7211983,76.87093,0.044691715,0.49922138,79.343735,79.72222,79.750244,81.09827,87.267654,82.92897,135.7228,135.27078,135.25133,135.52293,136.97975,135.79947
360.06174,3.7416775,3.7445319,3.7545402,3.744076,3.7777956,3.7283566,76.853935,0.040026307,0.53881574,79.31794,79.747116,79.75375,81.04477,79.445114,82.880516,135.72293,135.27199,135.21976,135.48006,134.63083,135.78674
357.0058,3.7421875,3.746197,3.7484078,3.6964245,3.7712185,3.7088444,76.89703,0.04280252,0.49845427,79.361916,79.53545,79.78101,83.69509,79.39332,83.38011,135.72658,135.44052,135.2562,136.22726,134.66072,136.01006
358.93143,3.741283,3.7539923,3.7510302,3.6915066,3.6744087,3.716649,76.90013,0.05001904,0.5362296,79.49304,79.39809,79.86403,84.79818,86.989975,83.26408,135.60674,135.47282,135.28003,136.5135,136.94778,135.9884
357.75266,3.7432022,3.7422934,3.748431,3.7267776,3.7029045,3.7064066,76.87091,0.041208744,0.48172715,79.43522,79.57457,79.834404,82.22615,84.34342,83.6891,135.65501,135.35788,135.22433,135.83206,136.22614,136.08641
358.0051,3.740945,3.744451,3.7481573,3.738321,3.7004032,3.7029934,76.84647,0.03746008,0.4793728,79.41035,79.64782,79.84235,81.49579,84.2564,83.88444,135.63167,135.30415,135.20627,135.63872,136.20964,136.13452
357.49332,3.7415793,3.7408786,3.7470891,3.7293086,3.7527623,3.7124562,76.866585,0.04267304,0.5211106,79.298386,79.73987,79.80632,82.05674,80.83322,83.19533,135.75508,135.25374,135.21826,135.7648,135.10895,135.89523
